run_idx,config_id,network,success,duration_ms,spend_vbytes,fund_txid,spend_txid
1,regtest-3M-500K,regtest,True,743,151,,
2,regtest-3M-500K,regtest,True,586,154,,
3,regtest-3M-500K,regtest,True,642,153,,
4,regtest-3M-500K,regtest,True,615,151,,
5,regtest-3M-500K,regtest,True,753,158,,
6,regtest-3M-500K,regtest,True,602,156,,
7,regtest-3M-500K,regtest,True,588,150,,
8,regtest-3M-500K,regtest,True,603,153,,
9,regtest-3M-500K,regtest,True,639,158,,
10,regtest-3M-500K,regtest,True,734,150,,
11,regtest-3M-500K,regtest,True,723,153,,
12,regtest-3M-500K,regtest,True,763,158,,
13,regtest-3M-500K,regtest,True,687,153,,
14,regtest-3M-500K,regtest,True,694,154,,
15,regtest-3M-500K,regtest,True,581,152,,
16,regtest-3M-500K,regtest,True,758,156,,
17,regtest-3M-500K,regtest,True,667,154,,
18,regtest-3M-500K,regtest,True,619,153,,
19,regtest-3M-500K,regtest,True,775,155,,
20,regtest-3M-500K,regtest,True,606,151,,
21,regtest-3M-500K,regtest,True,677,151,,
22,regtest-3M-500K,regtest,True,671,155,,
23,regtest-3M-500K,regtest,True,734,154,,
24,regtest-3M-500K,regtest,True,591,157,,
25,regtest-3M-500K,regtest,True,717,151,,
26,regtest-3M-500K,regtest,True,676,151,,
27,regtest-3M-500K,regtest,True,721,154,,
28,regtest-3M-500K,regtest,True,740,155,,
29,regtest-3M-500K,regtest,True,727,153,,
30,regtest-3M-500K,regtest,True,760,151,,
31,regtest-3M-500K,regtest,True,591,153,,
32,regtest-3M-500K,regtest,True,777,154,,
33,regtest-3M-500K,regtest,True,600,153,,
34,regtest-3M-500K,regtest,True,605,156,,
35,regtest-3M-500K,regtest,True,651,157,,
36,regtest-3M-500K,regtest,True,742,155,,
37,regtest-3M-500K,regtest,True,621,155,,
38,regtest-3M-500K,regtest,True,670,153,,
39,regtest-3M-500K,regtest,True,751,154,,
40,regtest-3M-500K,regtest,True,759,151,,
41,regtest-3M-500K,regtest,True,735,152,,
42,regtest-3M-500K,regtest,True,716,153,,
43,regtest-3M-500K,regtest,True,621,157,,
44,regtest-3M-500K,regtest,True,677,154,,
45,regtest-3M-500K,regtest,True,743,158,,
46,regtest-3M-500K,regtest,True,636,155,,
47,regtest-3M-500K,regtest,True,776,150,,
48,regtest-3M-500K,regtest,True,638,150,,
49,regtest-3M-500K,regtest,True,660,156,,
50,regtest-3M-500K,regtest,True,648,151,,
51,regtest-3M-500K,regtest,True,634,155,,
52,regtest-3M-500K,regtest,True,634,157,,
53,regtest-3M-500K,regtest,True,681,157,,
54,regtest-3M-500K,regtest,True,616,154,,
55,regtest-3M-500K,regtest,True,615,153,,
56,regtest-3M-500K,regtest,True,770,158,,
57,regtest-3M-500K,regtest,True,717,154,,
58,regtest-3M-500K,regtest,True,771,156,,
59,regtest-3M-500K,regtest,True,729,156,,
60,regtest-3M-500K,regtest,True,672,153,,
61,regtest-3M-500K,regtest,True,615,158,,
62,regtest-3M-500K,regtest,True,706,151,,
63,regtest-3M-500K,regtest,True,773,150,,
64,regtest-3M-500K,regtest,True,608,152,,
65,regtest-3M-500K,regtest,True,740,152,,
66,regtest-3M-500K,regtest,True,754,156,,
67,regtest-3M-500K,regtest,True,732,151,,
68,regtest-3M-500K,regtest,True,678,156,,
69,regtest-3M-500K,regtest,True,732,157,,
70,regtest-3M-500K,regtest,True,715,154,,
71,regtest-3M-500K,regtest,True,721,150,,
72,regtest-3M-500K,regtest,True,754,151,,
73,regtest-3M-500K,regtest,True,754,158,,
74,regtest-3M-500K,regtest,True,772,154,,
75,regtest-3M-500K,regtest,True,776,155,,
76,regtest-3M-500K,regtest,True,608,154,,
77,regtest-3M-500K,regtest,True,691,152,,
78,regtest-3M-500K,regtest,True,696,150,,
79,regtest-3M-500K,regtest,True,764,154,,
80,regtest-3M-500K,regtest,True,708,152,,
81,regtest-3M-500K,regtest,True,709,151,,
82,regtest-3M-500K,regtest,True,740,154,,
83,regtest-3M-500K,regtest,True,743,158,,
84,regtest-3M-500K,regtest,True,735,153,,
85,regtest-3M-500K,regtest,True,619,155,,
86,regtest-3M-500K,regtest,True,775,152,,
87,regtest-3M-500K,regtest,True,718,158,,
88,regtest-3M-500K,regtest,True,580,155,,
89,regtest-3M-500K,regtest,True,705,150,,
90,regtest-3M-500K,regtest,True,608,155,,
91,regtest-3M-500K,regtest,True,658,153,,
92,regtest-3M-500K,regtest,True,594,153,,
93,regtest-3M-500K,regtest,True,725,151,,
94,regtest-3M-500K,regtest,True,601,157,,
95,regtest-3M-500K,regtest,True,597,158,,
96,regtest-3M-500K,regtest,True,776,152,,
97,regtest-3M-500K,regtest,True,612,157,,
98,regtest-3M-500K,regtest,True,720,152,,
99,regtest-3M-500K,regtest,True,647,158,,
100,regtest-3M-500K,regtest,True,735,156,,
